name,x,y,diameter,diametroDos,diametroTres,diametroCuatro,diametroCinco,diametroSeis,diametroSiete,diametroOcho,diametroNueve,diametroDiez,diametroOnce,diametroDoce,diametroTrece,diametroCatorce,diametroQuince,diametroDieciseis,diametroDiesisiete,diametroDiesiocho,diametroDiesinueve,diametroVeinte,diametroVeintiuno
AntonioNarino,500,500,1,11,11,11,11,11,11,11,11,115,114,113,112,111,110,109,109,109,109,109,108
BarriosUnidos,300,500,1,20,20,21,21,22,22,23,23,239,243,247,250,254,257,260,263,267,270,273,276
Bosa,300,500,1,41,43,46,48,50,52,54,56,583,600,616,633,651,669,688,709,731,753,776,799
Chapinero,300,500,1,12,12,12,12,12,12,12,12,124,125,125,126,126,126,126,126,126,126,125,125
CiudadBolivar,300,500,1,51,53,54,55,57,58,59,61,623,636,650,664,677,691,705,719,733,748,762,776
Engativa,300,500,1,77,77,78,79,80,81,81,82,832,839,845,851,856,862,867,873,878,883,887,892
Fontibon,300,500,1,26,27,28,29,30,31,31,32,337,346,355,364,374,383,393,403,413,424,434,444
Kennedy,500,700,1,88,90,91,93,95,96,98,100,1030,1052,1075,1097,1120,1142,1165,1187,1208,1230,1252,1273
LaCandelaria,5,500,1,2,2,2,2,2,2,2,2,22,22,22,22,22,22,22,22,22,22,22,21
LosMartires,300,500,1,9,9,9,9,9,9,9,9,95,95,95,95,95,94,94,94,93,93,92,92
PuenteAranda,300,500,1,26,26,25,25,25,25,24,24,244,241,239,236,234,231,228,225,221,218,215,211
RafaelUribeUribe,300,500,1,38,37,37,37,37,37,37,37,369,367,365,399,361,358,356,353,350,348,344,341
SanCristobal,300,500,1,42,41,41,41,40,40,40,40,400,400,400,400,399,398,397,396,394,392,389,387
SantaFe,300,500,1,10,10,10,10,10,10,10,10,105,104,103,102,100,99,97,96,95,93,92,91
Suba,300,500,1,80,83,86,89,92,95,98,100,1039,1068,1097,1127,1157,1188,1219,1250,1282,1315,1348,1381
Sumapaz,300,500,1,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
Teusaquillo,300,500,1,13,13,13,13,13,13,13,13,140,140,140,140,140,140,140,140,140,140,139,139
Tunjuelito,300,500,1,19,19,18,18,18,18,18,18,184,185,187,188,189,190,190,189,187,186,184,183
Usaquen,300,500,1,40,41,41,42,42,43,43,44,445,451,455,460,464,468,470,472,474,475,476,476
Usme,300,500,1,27,27,28,29,29,30,30,31,317,320,323,326,329,331,334,337,340,342,345,348
